Nama Produk,Kategori,Merk,Stok,Satuan,Harga Beli (HPP),Harga Jual,SKU
Sodium Hydroxide / NaOH Teknis 1 Kg,,,8,Pack,16800,37000,
Soduim Bisulphite / Na Bisulfit PA,,,1,Gram,2000,3000,
Sodium Molybdate Dihydrate HIMEDIA 100 gram,,PCT0117-100G,1,Botol,907425,1209900,
Riboflavin (vitamin B2) HIMEDIA 25G,,PCT0214-25G,1,Botol,541125,1009400,
Citric Acid *PTC Grade HIMEDIA 500gr,,PCT0501-500G,1,Botol,499500,665900,
DMF Dimethyl Formamide Merck,CAIRAN PRO ANALIS,,87,ml,1700,4500,
Ice gel Lembaran Besar / Persegi Panjang 12 pcs,ALAT,,32,Lembar,10000,12000,
"2,4 Dinitrophenylhydrazine",,,1,Gram,65000,90000,
"KOH 0,1 N PA 100 ML",LARUTAN REAGENT,,8,Botol,7000,25000,
Ethanol 70% Teknis,,,96,Liter,13000,31000,
Tween 20 for analysis,CAIRAN PRO ANALIS,,61,ml,1700,3500,
Aluminium Chloride Hexahydrate SMARTLAB 1 Kg (AlCl3),,A-2070,1,Pack,1410255,1815000,
"Fecl3 0,05 M 500ml",,,3,Botol,20000,45000,
H2O2 TEKNIS 250 ML,,,9,Botol,3500,13000,
"(�)-Epichlorohydrin purum, =99% (GC) 1000 ml",SIGMA,SA 45340-1L-F,1,Botol,1345320,1887000,
"4-Nitrophenol ReagentPlus�, =99% 50GR",,,1,Pack,1,1137000,
Manganese(II) Sulfate Monohydrate 1.05941.0250,,,1,Botol,844876,1299810,
D(+)-Glucose Anhydrous For Biochemistry MERCK 1 Kg,,1.083.371.000,2,Pack,1143522,1717000,
Tri-Sodium Citrate Dihydrate MERCK 500 gr,,1.064.480.500,2,Botol,653790,1104450,
Lactose Monohydrate / Laktosa analys,PADATAN PRO ANALIS,,125,Gram,2640,5500,
H2O2 Teknis / Hydrogen Peroxide 50%,CAIRAN TEKNIS,,5,Liter,14000,45000,
Ammonia NH3 Teknis 25%,CAIRAN TEKNIS,,9,Liter,12000,55000,
Asam asetat Teknis / Acetic Acid CH3COOH 25%,CAIRAN TEKNIS,,10,Liter,15000,60000,
2-Propanol / Iso Propil / Isopropanol Merck 100ml,CAIRAN PRO ANALIS,,4,Botol,18000,38000,
Magnesium Sulfate 7 hydrate 1.05886.1000,,,1,Botol,1286490,2015000,
Sodium Hydrogen Carbonate 1.06329.1000,,,1,Botol,760350,1320900,
"Potassium ferrycyanide / Kalium ferisianida (K3[Fe(CN)6]))
",PADATAN PRO ANALIS,,235,Gram,1200,4000,
"Timbangan Emas Profesional 50g 0.001g Digital Mini Scale 50gr 0,001gr",ALAT,,1,Pcs,191000,248000,
Demineralized Water / Hydrobatt / Aquadest 600 ml,,,7,Botol,3250,5000,
"8-Hydroxyquinoline, Oxine, 8-Quinolinol, Hydroxybenzopyridine AR",PADATAN PRO ANALIS,,1,Gram,23200,41000,
Petri Dish NORMAX 90x15 mm,,P.50585-46,89,Pcs,19980,32000,
Sikat Botol/Beaker (Dia.60xLb.110mm) LOKAL,,L.32,9,Pcs,6660,10000,
"Buffer Fosfat ph 7,4�50�mL",,,9,Botol,5000,15000,
Sendok Spatula Stainless Laboratorium 20 cm,ALAT,,1,Pcs,7200,14000,
Indikator PP 1% 100 ML,,,19,Botol,32600,69000,
Glycolic Acid Teknis 250gr,PADATAN TEKNIS,,1,Pack,154500,194000,
Pepsin analis MERCK 50 gr,CAIRAN PRO ANALIS,,1,Pack,800000,1330000,
Pepsin analis MERCK 50 gr,CAIRAN PRO ANALIS,,1,Pack,800000,1330000,
Jepit Roti S/S 14-76 JRM,,,1,Pcs,16500,25000,
Plastik Wrap 45cm*500m Best/F,,,1,Roll,234000,351000,
Sodium Flouride NaF PA Eceran,PADATAN PRO ANALIS,,475,Gram,5000,6500,
Paper pH Universal 100 strip OF,,,9,Pack,35000,60000,
Glyserol / Gliserol / Gliserin PA 50 ml,CAIRAN PRO ANALIS,,3,Botol,25000,90000,
Reagent Molisch,,,540,ml,1200,3500,
HCL 2 N 100 ML,CAIRAN TEKNIS,,25,Botol,1000,15000,
Haemocytometer art no.1280,,,2,Pcs,545000,800000,
HCL 11M 1 Liter,CAIRAN TEKNIS,,102,Botol,1,95000,
HCL 11M 200ML,CAIRAN TEKNIS,,96,Botol,1,25000,
Tabung Dekstruksi 30 cm dia 25mm,GLASSWARE,,5,Pcs,68000,100000,
Citric Acid Monohydrate PA 100 Gram,PADATAN PRO ANALIS,,7,Pack,110000,245000,
HCL PA 37% / HYDROCHLORIC ACID 100 ML,CAIRAN PRO ANALIS,,31,Botol,27000,98000,
HCL 5 M 1L,,,97,Botol,12000,60000,
Formain 10% 100 ml,CAIRAN TEKNIS,,29,Botol,2000,10000,
Sodium Hydroxide Pellets AR NaOH 500 GR,PADATAN PRO ANALIS,,2,Botol,94000,270000,
Cawan Evaporasi Porselen 150 ml Ex. India,GLASSWARE,R.J-167,12,Pcs,23532,35000,
Folin Ciacalteu's Phenol Reagent MERCK 500ml,CAIRAN PRO ANALIS,1.090.010.500,1,Botol,1435452,1789000,
Mortar Pestle OD: 130mm,,R.G-4,12,Pcs,45000,53000,
Crocodile Clips / Capit Buaya,ALAT,,1,Pasang,4000,5000,
Sodium alginate / Alginic acid sodium salt / Algin / Natrium Alginat for analysis,PADATAN PRO ANALIS,,1,Gram,6500,39000,
Kasa Verban / Kassa Perban Onemed 2 yard x 5 cm 5 pcs,,,1,Pack,10000,11000,
TDS Meter digital TDS-2,PADATAN PRO ANALIS,,2,Pcs,18000,27000,
TDS Meter digital TDS-3,,,6,Pcs,14800,22500,
Microtube GP 2 ml Conical @500 pcs,,,2,Pack,"84416,67",126000,
Tween 20 for analysis 100 ml,CAIRAN PRO ANALIS,,1,Botol,170000,280000,
Sodium Phosphate Dibasic Heptahydrate Smartlab @1 Kg,,A-2055,1,Botol,1006215,1295000,
Sodium Phosphate Dibasic Heptahydrate Smartlab Eceran,,A-2055-1,1,Gram,"1006,22",2500,
"Hydrochloric Acid 25% (HCL) SmartLab @2,5 L",,A-1050 G,1,Botol,782550,1043500,
Auric Chloride 49% @1gr,,A-2149,1,Pack,3069982,4255000,
NBF 10% (Neutral buffer formalin),CAIRAN TEKNIS,,7,Liter,95000,185000,
Erlenmeyer PYREX 250 ml,GLASSWARE,,1,Pcs,34000,45500,
Aquadest 25 lt + Jerigen,,,17,jerigen,55000,120000,
Kitosan Chitosan Pharmaceutial Grade Powder,,,1,Gram,1550,3000,
SODIUM DIETHYL DITHIOCARBAMATE TRIHYDRATE 99% / C5H10NNaS2.3H2O 100 gr,PADATAN PRO ANALIS,,1,Pack,600000,900000,
CADMIUM NITRATE TETRAHYDRATE 99% / Cd(NO3)2.4H2O,PADATAN PRO ANALIS,,1,100 gr,700000,1050000,
PARAFIN LIQUID 50 ml,CAIRAN TEKNIS,,21,Botol,2000,11000,
Blue Tips OneMed @500 pcs,ALAT,,1,Pack,50243,60000,
White Tips 10 uL Eceran,,,970,Pcs,382,450,
Sarung Tangan Latex OneMed M,,,10,Pack,41647,60000,
SODIUM DIETHYL DITHIOCARBAMATE TRIHYDRATE 99% / C5H10NNaS2.3H2O,PADATAN PRO ANALIS,,70,Gram,6000,12000,
Buffer Acetate pH 3-7 100 ML,LARUTAN REAGENT,,24,Botol,13000,53000,
Disc OXOID Penicillin G P10,,,1,Pack,427128,570000,
DPPH 500MG,PADATAN PRO ANALIS,,1,Pack,1625000,2500000,
EDTA 4Na Vitamin Aki,PADATAN TEKNIS,,230,Gram,150,800,
Larutan Trichloroacetic Acid TCA 10 % 50 ml,LARUTAN REAGENT,,31,Botol,32000,73000,
HNO3 4 M,CAIRAN TEKNIS,,99,Liter,17000,65000,
Potassium Hydroxide Pellets KOH PA 100 gr,PADATAN PRO ANALIS,,33,Pack,37000,120000,
"Filter Syringe Nylon Diameter 25 mm Pori 0,45 um non steril",,,35,Pcs,4500,8500,
Plastik Klip Klip Plastik 20 x  30 cm,,,32,Pack,50000,65000,
Pereaksi Libermann Burchard 50 ml,CAIRAN REAGEN,,1,Botol,50000,175000,
Glyserol / Gliserol / Gliserin PA 500 ml,CAIRAN PRO ANALIS,,2,Botol,250000,437500,
Sinigrin Potassium Salt SIGMA ALDRICH 25mg,PADATAN PRO ANALIS,PHL892790-25MG,1,Pack,4781047,6360000,
Methanol HPLC Smartlab @4 L,CAIRAN PRO ANALIS,H-1058,3,Botol,881895,1250000,
Potassium Hydroxide Pellets Smartlab @5 Kg,PADATAN PRO ANALIS,A-2037 5,1,Botol,1087800,1554000,
Potassium Phosphate Monobasic Smartlab 1 Kg,PADATAN PRO ANALIS,A-2131,1,Pack,571095,943500,
Camperlan / Amphitol / Foam Booster / CAPB / Cocamidopropyl,,,170,ml,180,300,
di-Sodium Tetraborate Decahydrate Smartlab @500gr,PADATAN PRO ANALIS,A-2140,1,Pack,761460,1088000,
Nice Tisu Roll isi 120 roll,,,2,Karton,396000,520000,
Erlenmeyer HERMA 100 ml,GLASSWARE,H.81121-100,3,Pcs,19203,32000,
Cawan Evaporasi Porselen RRT 50 ml,,CP.C-48-50,11,Pcs,15249,23000,
Calcium Nitrate Tetrahydrate HIMEDIA 500gr,PADATAN PRO ANALIS,PCT0005-500G,1,Pack,408480,531000,
di-Sodium Hydrogen Phosphate Anhydrous HIMEDIA 500gr,PADATAN PRO ANALIS,GRM3960-500G,1,Pack,532800,708000,
Magnesium Sulphate Heptahydrate HIMEDIA 500gr,PADATAN PRO ANALIS,GRM684-500G,1,Pack,390720,520000,
Copper (II) Sulphate 5H2O HIMEDIA 500g,PADATAN PRO ANALIS,GRM677-500G,1,Pack,532800,708000,
Stearic Acid / Asam Stearat Teknis 500 gr,,,1,Pack,22500,40000,
D(+)-Glucose Anhydrous for Biochemistry,PADATAN PRO ANALIS,1.083.370.250,1,Pack,651515,1002000,
Zinc Sulfate 7 Hydrate MERCK 500gr,,1.088.830.500,1,Pack,798090,1198000,
Pipet Volume PYREX 50 ml,,,1,Pcs,70000,110000,
Kultur Isolat murni trichophyton mentagrophytes,,,1,Dish,650000,1000000,
Trichloroacetic Acid TCA PA Eceran,,,428,Gram,6434,9800,
"2,2 Diphenyl 1 Picrylhydrazyl DPPH (Free Radical) 15 mg",PADATAN PRO ANALIS,,32,Pack,42000,130000,
Nutrient Agar NA Eceran,PADATAN PRO ANALIS,,465,Gram,2800,5000,
Serum Albumin / Bovine Serum Albumin / BSA 50 mg,PADATAN PRO ANALIS,,1,Pack,33000,55000,
"HCL 0,1 M/N 250 ML",,,99,Botol,1,28000,
VIRGIN COCONUT OIL (VCO) 500 ml,,,2,Botol,40000,65000,
HCL Teknis 32%,,,20,Botol,10000,50000,
NaOH 5 % 500 ml,CAIRAN TEKNIS,,20,Botol,4000,20000,
Elektroda Nikel (Ni) Logam Plat Lempeng Nickel Nikel Plate Elektrolis,,,1,Pcs,23000,30000,
2-Propanol / Iso Propil / Isopropanol Merck 360ml,,,1,Botol,63000,130000,
Ethanol 70% Teknis 500 ml,CAIRAN TEKNIS,,30,Botol,9000,17000,
ACETONE TEKNIS 250 ML,CAIRAN TEKNIS,,32,Botol,12500,25000,
POTASSIUM CHLORIDE / KCL PA 100 gram,PADATAN PRO ANALIS,,10,Pack,40000,80000,
Aquadest Refill 51-100,,,740,Liter,650,2000,
HCL 2% 50 ml,,,31,Botol,2000,8000,
ETHANOL PA MERCK 50 ML,CAIRAN PRO ANALIS,,30,Botol,14000,25000,
"Asam Galat / Galic Acid Eceran 0,5 gr",PADATAN PRO ANALIS,,7,Pack,16000,38000,
HCL 2 N 500 ML,,,98,Botol,3000,28000,
Plastik Klip PE 11x17,PLASTIK,,25,Pack,8150,12000,
Plastik Klip PE 8.7x13,PLASTIK,,25,Pack,5000,7500,
Plastik PE Roll 0.8x100 Eceran,PLASTIK,,10,meter,5000,7500,
Plastik Klip PE 25x35,PLASTIK,,5,Pack,61000,91500,
Jampel / Cempal Tangan Set APL BDR,,,2,Pcs,30990,46500,
Isolasi 2 cm DAIMARU Transparan,,,2,slop,30000,45000,
Pinset Anatomi Fine SS 14 cm (A),,,1,Pcs,17000,20000,
"Pinset Chirurgis 12,5 cm Biru",,,25,Pcs,3200,5000,
Yellow Tips OneMed @1000 pcs,DISPOSABLE,,1,Pack,"39723,67",60000,
Nitrile Exam Blue SGN OneMed (L) @100pcs,,,20,Pack,"41802,6",62500,
Glyserol / Gliserol / Gliserin PA,CAIRAN PRO ANALIS,,2,Liter,500000,840000,
Potassium Iodate Smartlab 500gr,PADATAN PRO ANALIS,A-2042,4,Botol,2035740,2908000,
Potassium Iodate Smartlab 1000gr,PADATAN PRO ANALIS,A-2042,1,Botol,3896655,5566000,
"2,3,5 Triphenyltetrazolum Chloride (MB Grade) 10 gr",,,1,Botol,710400,888000,
Immersion Oil for Microscopy MERCK 100 ml,,1.046.990.100,4,Botol,601731,925000,
"N,N,N,N Tetramethyl Ethylenediamine MERCK 100 ml",,1.107.320.100,1,Botol,599400,999000,
Ammonium Ferric Sulphate SMARTLAB @1 KG,,A-2102,1,Pack,1002330,1431900,
Ammonium Persulphate SMARTLAB 1 Kg,,A-2107,1,Botol,971250,1431900,
Barium Chloride SMARTLAB 1 Kg,,A-2015,2,Botol,788655,1126000,
Calcium Chloride Anhydrous SMARTLAB 1 Kg,PADATAN PRO ANALIS,A-2467,1,Botol,2062935,2929000,
Calcium Chloride Dihydrate SMARTLAB 1 Kg,PADATAN PRO ANALIS,A-2114,2,Botol,683760,970000,
Copper II Nitrate Hexahydrate SMARTLAB 1 Kg,PADATAN PRO ANALIS,A-2151,2,Botol,1522920,2162000,
Copper Sulphate Pentahydrate SMARTLAB 1 Kg,PADATAN PRO ANALIS,A-2002,2,Botol,944055,1340000,
Methyl Orange Indicator SMARTLAB @25 gr,,A-2032,1,Pack,699300,993000,
Nickel Nitrate Hexahydrate SMARTLAB 500gr,,A-2156,2,Pack,1406370,1997000,
Oxalic Acid SMARTLAB 1 Kg,,A-2028,1,Botol,1056720,1500000,
Potassium Chloride SMARTLAB 1 Kg,,A-2038,2,Pack,404040,617000,
Potassium Dichromate SMARTLAB 500gr,,A-2035,2,Botol,1301475,1848000,
Silver Nitrate SMARTLAB 25 gr,,A-2044,4,Botol,1728825,1599000,
Sodium Bisulphite SMARTLAB 1 KG,,A-2090,1,Botol,582750,827000,
Sodium Carbonate Anhydrous Smartlab 1 Kg,,A-2048,1,Botol,769230,1092000,
Sodium Chloride SMARTLAB 1 Kg,,A-2049,2,Botol,780885,1108000,
Sodium Fluoride SMARTLAB 1 Kg,PADATAN PRO ANALIS,A-2067,1,Pack,1344210,1908000,
Sodium Hydroxide Pellets AR SMARTLAB 1 Kg,,A-2052,5,Botol,384615,546000,
Sodium Nitrate SMARTLAB 1 Kg,,A-2069,1,Botol,839160,1191000,
Sodium Sulphate Anhydrous Smartlab 1 Kg,,A-2053,3,Botol,404040,540000,
"5,5'-Dithiobis(2-nitrobenzoic acid) SIGMA ALDRICH 5gr",,D8130-5G,2,Botol,1894992,2085000,
Acetylcholine Chloride SIGMA ALDRICH >99% TLC 25gr,,A6625-25G,2,Botol,1378176,1515000,
"Elektroda Karbon Batang Carbon 50 mm, Dia 4 mm (Standard Pada Penjepit Buaya)",ALAT,,6,Pcs,10000,20000,
Alumunium Sulfat Teknis,PADATAN TEKNIS,,2,Kg,15000,22500,
Ferro Sulfat Teknis 1 Kg,PADATAN TEKNIS,,2,Kg,35000,52500,
Mercury Sulphate HgSO4 PA Eceran,PADATAN PRO ANALIS,,1,Gram,23600,27000,
"Triclosan / Triklosan 5-Chloro-2-(2,4-dichlorophenoxy)phenol Eceran",,,30,Gram,1500,5000,
Mercury (II) Iodide HgI2 PA Eceran,PADATAN PRO ANALIS,,1,Gram,16000,54000,
Silver Sulfate AgSo4 / Ag2SO4 PA Eceran,PADATAN PRO ANALIS,A-2045-1,19,Gram,69464,143000,
Acetylcholinesterase from Electrophorus - C2888-5000UN,,,1,Botol,2215560,2425000,
Tris HCL pH 8 - 100 ml,,,1,Botol,1700000,1950000,
FeCl3 1% 30 ml,CAIRAN TEKNIS,,21,Botol,1000,5000,
FRUCTOSE POWDER 500 GRAM,,,1,Pack,1,85000,
Lactosa 250 Gram,,,4,Pack,20000,40000,
PEG 400,CAIRAN TEKNIS,,475,ml,57,300,
NAOH 6 M PA 250 ML,CAIRAN REAGEN,60 gram,9,Botol,15000,70000,
H2SO4 1% 500 ML,CAIRAN TEKNIS,,97,Botol,10000,28000,
Tembaga (II) Sulfat Pentahidrat / Copper (II) Sulfate CuSO4 PUDAK 500gr,PADATAN PRO ANALIS,CTE 81/500,2,Botol,97500,150000,
Kertas Lakmus Biru (5 buku),,CKT 55/005,1,Pack,35750,55000,
Kertas Lakmus Merah (5 buku),,CKT 56/005,1,Pack,35750,55000,
Penicillin Streptomycin Solution 100ml Plastic E,CAIRAN PRO ANALIS,LS-thermo-15140122,1,Botol,1598400,2157000,
Petri Dish NORMAX 60x15 mm,,P.50585-41,9,Pcs,18870,28000,
Selang Metalic Milliard 5/8 inch,,,1,meter,95000,140000,
Copper (II) Chloride Dihydrate for Analysis MERCK 250 gr,,1.027.330.250,2,Pcs,1164834,1749000,
Copper (II) Nitrate Trihydrate MERCK 1 Kg,,1.027.531.000,1,Botol,2729490,4159000,
Ethylenediamnie for Synthesis 1000 ml,,8.009.471.000,1,Botol,919080,1380000,
Manganese (II) Chloride Tetrahydrate MERCK 100 ml,,1.059.270.100,2,Botol,781218,1173000,
Nickel (II) Chloride Hexahydrate for Analysis MERCK 250gr,,1.067.170.250,1,Botol,1322010,1985000,
Zinc Chloride for Analysis MERCK 250gr,,1.088.160.250,2,Botol,857808,1288000,
Methylene Blue (C.I. 52015) MERCK 10gr,,1.592.700.010,1,Botol,861804,1294000,
Safranin 0.5%  100 ML,LARUTAN REAGENT,,11,Botol,50000,90000,
Silver Sulphate Smartlab @25 gr,,A-2045,1,Botol,1736595,2345000,
Box Kotak Rak White Tips,,,1,Pcs,33000,55000,
Copper (II) Carbonat,,,70,Gram,1000,3000,
TOLUENE PA 100 ml,CAIRAN PRO ANALIS,,6,Botol,24000,110000,
Tutup Stoper 16 Labu Ukur,,,1,Pcs,20000,27000,
Sensi Gloves Medical Latex XL,DISPOSABLE,,7,Box,40000,45000,
Tertiary Butyl Hydroquinone TBHQ Ex. Eastman Tenox USA FO456 100gram,PADATAN TEKNIS,,2,Pack,50000,275000,
AlCl3 10% PA,,,19,ml,130,800,
Potassium Iodide / Kalium Iodide / KI Jenuh 10 ml,CAIRAN REAGEN,,10,Botol,21210,85000,
Packing,,,32,unit,15000,30000,
Asam Format / Formic Acid 50 ML,,,30,Botol,700,7000,
N-Hexane PA 350 ml,CAIRAN PRO ANALIS,,1,Botol,65000,185000,
"Cover Glass DWK LIFE 24 x 60mm, No 1.5 automat 100pcs",ALAT,,1,Pack,45000,60000,
Kuvet Kuarsa / Quartz Cuvettes With Lids 10 mm Cell,ALAT,,1,Pcs,261000,343000,
"Kasein / Caseine 0,5 % 40 ml",CAIRAN REAGEN,,1,Botol,4000,16000,
Larutan Trichloroacetic Acid TCA PA 4 % Eceran,CAIRAN REAGEN,,79,Botol,400,1400,
"Acetic anhydride for analysis EMSURE� ACS,ISO,Reag. Ph Eur",CAIRAN PRO ANALIS,1.000.422.500,1,"2,5 L",2900000,4585000,
Separating Funnel DURAN Vol. 100 ml / Corong Pisah Keran Gelas,,,1,Pcs,120000,235000,
Ethanol 96% Teknis 50 ml,CAIRAN TEKNIS,,5,Botol,80,7000,
Formalin 10% 100 ml,CAIRAN TEKNIS,,8,Botol,2000,10000,
Sukrosa 24% 100 ML,,,97,Botol,7500,75000,
Naphthyl Ethylenediamine Hydrochloride Merck/NED/Nafthyl Etilendiamin PA 100 mg,PADATAN PRO ANALIS,,1,Pack,44500,60000,
Nitric Acid 1 M HNO3 PA,CAIRAN PRO ANALIS,,220,ml,300,1000,
Folin Ciacalteu's Phenol Reagent 50 ml,CAIRAN PRO ANALIS,,29,Botol,170000,235000,
Ethanol Absolute PA 500 ML,CAIRAN PRO ANALIS,,1,Botol,1,210000,
Battery ABC 9V Super Power Hitam Baterai ABC 9 Volt,ALAT,,1,Pcs,16000,18000,
"Column Chromatography, With Teflon Stopcock, ID 20",ALAT,2147-20-19,1,Pcs,970000,1107000,
Polivinil Alkohol PVA Serbuk Polyvinyl Alcohol 100 gr,PADATAN TEKNIS,,10,Pack,12400,40000,
Magnesium Stearat Powder 100 gr,PADATAN TEKNIS,,10,Pack,8000,35000,
STOPPER 19/26,GLASSWARE,,1,Pcs,25000,38000,
Refill Tabung CO2 1M3 (1 mg),Gas,,1,Tabung,140000,190000,
Iodine Resublimed for Analysis MERCK 100 gr,PADATAN PRO ANALIS,1.047.610.100,2,Botol,2293704,3822800,
Potassium Iodide / Kalium Iodide / KI Jenuh,CAIRAN REAGEN,,57,ml,2200,9000,
Cryo Box 10x10 1-2 ml (10 pack/case),ALAT,431121,1,Pack,328560,443000,
"Soxlet Komplit 250 ml ( Boiling..Extractor..condeser.)
",GLASSWARE,,1,Set,275000,467500,
Kertas A4 Sidu 70 gr,ATK,,1,rim,50000,60000,
Kertas F4 Sidu 80 gr,ATK,,1,rim,64000,77000,
Kasa Hydrophyl 40*80 ONEMED (E CAT),DISPOSABLE,,1,Roll,182531,243000,
Magnesium Chloride Hexahydrate HIMEDIA 500gr,,A.1.9 / GRM728,2,Botol,303000,409000,
Plastik Roll PEROL 0.8*100*25,PLASTIK,,1,Roll,90000,117000,
Vacum Bag 15*20 @100 lbr,PLASTIK,,1,Pack,55000,71500,
Gelas Puding 90 ml + Tutup,PLASTIK,,2,slop,8000,10500,
Urea Petro 50 Kg,PUPUK,,3,Zak,352000,410000,
KCL Mahkota 50 Kg,PUPUK,,1,Zak,335000,419000,
Benih Sawi Flamingo F1 10 gr,Pertanian,,6,Pcs,22000,30000,
NPK 16 16 16 Mutiara 50 Kg,PUPUK,,2,Zak,640000,832000,
Benih Cabe Ori,Pertanian,,2,Pack,60000,78000,
KSP Tawon,Pertanian,,1,Pcs,185000,240000,
"Cryo Box 81 Walls CORNING 1-2ml, 10 Rack/Case",ALAT,431119,1,Rack,461760,600000,
"GranuCult� prime MRS agar (de MAN, ROGOSA and SHARPE)",PADATAN PRO ANALIS,,1,Pack,1430000,1930500,
"GRM026-500G Agar Powder, Bacteriological",PADATAN PRO ANALIS,,1,Pack,2000000,2460000,
Refractometer Brix 0-90%,ALAT,,1,Pcs,185000,245000,
Belerang Bubuk / Sulfur Powder 1250 gr,PADATAN TEKNIS,,1,Pack,25000,55000,
Nonidet P-40 Substite 50 ml,PADATAN PRO ANALIS,41430004-1,1,Pcs,2850000,3847500,
Tris-Base Biotechnology Grade 500g,PADATAN PRO ANALIS,42020309-1,1,Pack,2350000,3172500,
"Proteinase K Solution 20mg/mL, 5 ml",PADATAN PRO ANALIS,21560025-1,1,Vial,2950000,3982500,
"Larutan Bromophenol Blue 0,1% ARKITOS 100 ml",LARUTAN REAGENT,A108122.E100,1,Botol,150000,200000,
Larutan Eosin 1% ARKITOS 100ml,LARUTAN REAGENT,KT.EOSIN-Y-1P100,1,Botol,50000,70000,
Sodium Caseinate / Kasein / Casein Powder - 250 gr,PADATAN TEKNIS,,1,Pack,100000,155000,
Paket Kirim,LAINNYA,,4,unit,14000,20000,
Mueler Hinton Agar HIMEDIA 500 g,PADATAN PRO ANALIS,M173-500G,2,Pack,1403040,1817000,
"Rack Microtube 1,5-2 ml isi 72 lubang",ALAT,CU.RAKMICRO-20,1,Pcs,55000,85000,
"Ethanol PA Absolute Norme Assurer @2,5 L",PRO ANALIS,,2,Botol,566100,800000,
Ethanol PA Absolute Norme Assurer @500 ml,PRO ANALIS,,2,Botol,113220,163000,
Ethanol PA Absolute Norme Assurer @250 ml,PRO ANALIS,,3,Botol,56610,85000,
Ethanol PA Absolute Norme Assurer @100 ml,PRO ANALIS,,2,Botol,22644,36000,
Ethanol PA Absolute Norme Assurer @50 ml,PRO ANALIS,,4,Botol,11322,19000,
"ACETONE TEKNIS 2,5 L",CAIRAN TEKNIS,,2,Botol,125000,195000,
N-Butanol PA 500 mL,,,2,Botol,1,300000,
Isoamyl Alcohol 100 ml,,,2,Botol,110000,162000,
HCL PA 2 N / HYDROCHLORIC ACID Eceran,CAIRAN PRO ANALIS,,952,Botol,700,2300,
Tween 80 Teknis,CAIRAN TEKNIS,,293,ml,130,500,
Reagen DNS / Larutan DNS 50mL,CAIRAN PRO ANALIS,,1,Botol,116000,165000,
Pyrazine 98% GC dari TCI Japan 25G,PADATAN PRO ANALIS,,1,Pack,3200000,3995000,
Micropipette 100-1000uL Vitlab / Mikro Pipet Vitlab,ALAT,V.1641008,1,unit,3278718,4175000,
Tween 20 SIGMA ALDRICH 50 ml,SIGMA,P9416-50ML,1,Botol,634032,845000,
Medium 199 HBSS SIGMA ALDRICH 10x1L,SIGMA,M0393-10X1L,1,Pack,917304,1223000,
Potato Dextrose Agar BD Difco 500 gr,PADATAN PRO ANALIS,BD.213400,4,Botol,1269641,1905000,
Alumunium Chloride Hexahydrate MERCK 1 Kg,PADATAN PRO ANALIS,1.010.841.000,1,Pack,2622000,3409000,
Column Chromatography IWAKI Kran Teplon ID 20 * L 300 mm,GLASSWARE,,1,Pcs,770250,1027000,
Posphate IC-STD Titr MERCK 1000mg,PADATAN PRO ANALIS,1.098.700.001,1,Botol,939948,1411000,
Sodium Standard NaCl MERCK 1000 mg,PADATAN PRO ANALIS,1.099.270.001,1,Botol,918414,1379000,
"Glycerol 85% For Analysis MERCK 2,5 Ltr",CAIRAN PRO ANALIS,1.040.942.500,1,Botol,4646238,6976000,
Acetic Acid Glacial PA 1%,CAIRAN REAGEN,,5,Liter,11000,40000,
Cobalt (II) Nitrate Hexahydrate PA 25GR,PADATAN PRO ANALIS,,1,Pack,400000,1312500,
"Aceton Teknis 2,5 liter",CAIRAN TEKNIS,,1,Botol,125000,195000,
ACETONE TEKNIS 80% 500ML,,,11,Botol,20000,52000,
Operating Scissor Gunting 14 CM,,,1,Pcs,17000,25000,
HCl pekat 15 mL,CAIRAN TEKNIS,,1,Botol,1500,5000,
HCl pekat 15 mL,CAIRAN TEKNIS,,1,Botol,1500,5000,
Asam asetat Teknis / Acetic Acid CH3COOH 50 ML,CAIRAN TEKNIS,,7,Botol,1000,7000,
Acetic Acid Glacial AR 5% 100 ml,CAIRAN PRO ANALIS,,26,Botol,5000,20000,
Copper Sulfate / CuSO4 Teknis 100 gr,,,9,Botol,7000,16000,
"Corong pisah Separating Funnel, With Teflon Stopcock, 250 ml Iwaki",GLASSWARE,,1,Pcs,788713,1020000,
NaCl 10% PA 100 ml,CAIRAN PRO ANALIS,,1,Botol,7000,30000,
Ethanol 80% Teknis 100 ML,CAIRAN TEKNIS,,5,Botol,1600,12000,
Amonium Nitrat / Ammonium Nitrate 500 GR,PADATAN PRO ANALIS,,1,Botol,334000,1575000,
HCL PA 2 M / HYDROCHLORIC ACID 100 ml,CAIRAN PRO ANALIS,,9,Botol,7000,55000,
"Tris (1M), pH 8.0, RNase-free Thermo-AM9855G",,,1,Botol,1840824,2073000,
Plesterin AA 10's Amplop ONEMED,,,1,Pack,2000,2500,
NaCl 10% PA 25 ml,LARUTAN REAGENT,,1,Botol,2000,10000,
Petri Dish DURAN Steriplan 120*20mm,,D.237555107,25,Pcs,39960,52000,
Desiccator Vacuum RRT c/w Plate Porselen ID 210 mm,,H.1354-210,1,unit,847818,1270000,
Desiccator Vacuum / Desikator (ID) : 21Cm (H) : 320mm,,,1,Set,880000,1135000,
Timbal (II) Sulfat / Lead (II) Sulfate PbSO4 PA Eceran,PADATAN PRO ANALIS,,96,Gram,5500,7000,
